,fc
AC009093.5,-3.34350465259216
AC009093.8,0.700765610930045
AC009093.9,1.89572420457331
AC009108.1,-5.32028973994684
AC009108.3,-0.0926715266121772
AC009108.5,-1.28332449502166
AC009113.1,0.254975772361735
AC009118.2,-0.339483359434811
AC009118.3,-2.46226283376683
AC009120.2,-0.485156588878049
AC009120.5,-2.38999221018001
AC009139.1,-5.62254670469505
AC009163.6,-3.08242387150801
AC009163.7,1.23535471858095
AC009220.3,-5.10475967248625
AC009226.1,0.169714693468479
AC009228.1,-5.5794873985854
AC009229.4,-0.629559540178827
AC009236.1,-7.71186686040101
AC009237.14,0.493959240297656
AC009237.3,1.73724514559069
AC009237.6,1.35052303026423
AC009237.8,0.810432295040524
AC009238.1,1.35052303026423
AC009244.1,0.350186316098589
AC009245.1,-0.0544879611133401
AC009275.1,0.699360410535119
AC009283.1,-3.80000112493822
AC009301.1,-4.62284449015153
AC009302.1,0.561338497499693
AC009303.4,0.369824565769258
AC009309.1,-0.830994178053431
AC009309.2,-0.211721289526807
AC009315.1,-1.00342516631135
AC009318.2,-0.873432479881497
AC009318.3,-0.601561224784632
AC009319.1,-0.330470698917418
AC009403.1,-0.0254189269296915
AC009403.2,-1.72012532270342
AC009404.1,-0.519598992469397
AC009407.1,0.856032992127448
AC009412.1,-0.541993031002469
AC009506.2,0.440701053019768
AC009522.1,-4.78324823162061
AC009533.1,0.254268983236132
AC009549.1,1.48042878112224
AC009560.1,-2.65479167741257
AC009570.1,0.308686829149647
AC009630.1,0.184594831415068
AC009686.2,-0.0853189254577078
AC009690.2,-0.172470974169018
AC009779.2,1.14392558015926
AC009779.4,1.11419192627571
AC009812.4,-1.61504493485413
AC009812.5,0.503285278463925
AC009831.1,-1.03007072529955
AC009879.3,1.81142954376581
AC009902.3,-0.713054691303659
AC009948.1,1.01075709746351
AC009948.2,-2.81047541002017
AC009948.3,0.423245095192616
AC009950.1,-0.765172924228558
AC009955.2,0.203680484049685
AC009955.4,-1.13102368845895
AC009961.3,0.663962789434323
AC009977.1,1.22038580655324
AC010132.4,-1.22055790597149
AC010149.1,1.1259969866159
AC010168.2,0.226312749605801
AC010173.1,-0.153822839982187
AC010186.2,0.965426418811863
AC010197.2,-24.0242925613701
AC010207.1,-0.551440416892244
AC010210.1,0.298887184403713
AC010226.1,3.81008729193708
AC010240.2,-0.830994178053431
AC010240.4,1.33693694177749
AC010245.2,0.385243797768294
AC010260.1,0.665807959824196
AC010261.2,-4.78324823162061
AC010319.3,-0.830994178053431
AC010326.2,0.891693224220746
AC010326.4,0.576636008465786
AC010327.6,-2.53426849198048
AC010331.1,0.537348199820717
AC010332.1,1.63247160764527
AC010336.1,-1.03517208801649
AC010336.2,-0.298348357454014
AC010342.1,0.40643317533538
AC010343.1,0.0616517611507115
AC010343.3,-0.731724711816466
AC010359.2,-0.319606935112551
AC010401.1,1.35773860975349
AC010422.7,0.0997621921886575
AC010422.8,-2.75499678053228
AC010435.1,0.554454793257155
AC010442.3,0.800599127559822
AC010469.1,-3.52349179093063
AC010491.1,-1.0244511454666
AC010501.2,0.477352221350398
AC010503.5,0.209191041564613
AC010504.1,0.225768744749172
AC010507.1,-0.899331731269356
AC010507.2,-0.304945789793309
AC010522.1,1.86288918223589
AC010525.1,-0.616865654516216
AC010531.1,-3.71230354883579
AC010531.6,0.0699477108567531
AC010536.1,1.52853099989169
AC010542.4,-5.38488913893082
AC010542.5,0.540852950995852
AC010595.1,0.138185663939083
AC010624.3,-0.789220578013831
AC010642.1,-1.75866847820956
AC010642.2,0.550128170130523
AC010653.2,-0.144172133121801
AC010654.1,2.01426831520633
AC010655.2,0.0317837402156849
AC010655.3,-5.58507193960463
AC010655.4,0.0210699701202438
AC010655.5,-2.06932391683602
AC010680.2,-0.172372185124836
AC010680.3,-2.48802452966646
AC010733.1,2.55409380958649
AC010754.1,-1.24104455995647
AC010789.1,0.450950763474821
AC010789.2,2.45492970355647
AC010809.2,-5.05879106139561
AC010864.1,-0.338502577759924
AC010867.1,-3.70579607286351
AC010878.1,-0.655740438149491
AC010889.1,0.289994008328964
AC010894.2,0.46608711601358
AC010894.3,-0.23462174495013
AC010913.1,-0.418345374868439
AC010969.2,-0.540237409374393
AC010974.2,-4.92758821510964
AC010980.2,-1.95024975964776
AC010997.3,0.447848528898522
AC010997.5,-0.515180112024905
AC011005.1,-1.53448038358076
AC011092.1,1.19956038241982
AC011195.1,-2.1139137653094
AC011270.2,1.27774762020902
AC011290.2,0.585661013528783
AC011330.1,-2.39852247097935
AC011330.2,-0.44772710506714
AC011342.1,-4.62284449015153
AC011375.1,2.30054186933796
AC011388.1,-21.7987191277924
AC011444.1,0.161724404678547
AC011445.1,0.0173787810231209
AC011445.2,-0.927906281251666
AC011447.1,0.228250237176661
AC011447.7,-0.182821884502058
AC011450.1,-0.0884627744927434
AC011451.2,1.33592005250113
AC011451.4,-0.697431410943895
AC011455.6,-0.36210554796328
AC011462.1,-0.285803716198028
AC011462.4,-1.99274302998373
AC011466.4,-0.856826914013059
AC011468.1,-2.53700709868677
AC011468.5,1.57840510279614
AC011471.1,-0.0717739689575428
AC011472.2,-0.86820131488546
AC011472.4,0.0677732576592974
AC011472.5,-0.998947221210194
AC011477.3,-0.0875889479234572
AC011479.1,-1.99023437044381
AC011479.2,0.177899946567005
AC011479.4,0.443225723322206
AC011481.3,1.09449930589487
AC011483.1,-5.05879106139561
AC011487.1,-0.573821774375758
AC011491.3,-4.44234837272168
AC011495.1,0.213822631517331
AC011495.3,-1.47617471869722
AC011497.2,0.143795914842591
AC011498.7,-0.0383195996192849
AC011503.2,-0.966377996484452
AC011511.2,0.562501698794969
AC011511.5,-0.896999045718788
AC011603.3,-0.0419013354906323
AC011753.3,1.03832280418346
AC011773.4,0.6458711965325
AC011921.1,0.73393524921536
AC011933.1,-0.549090913960143
AC011978.2,0.258266963292347
AC011979.1,-0.308179738560372
AC011997.1,-0.911838331404616
AC012005.1,0.503788677343862
AC012063.1,1.50582130436993
AC012085.1,-0.277987193944028
AC012146.1,-0.0376752247161261
AC012146.4,3.81763231436
AC012158.1,1.07530775297388
AC012181.1,-0.906389687600174
AC012184.2,1.26983411678557
AC012213.4,-0.664272131184189
AC012213.5,0.333045437129854
AC012254.3,1.32348814549364
AC012291.3,-5.5794873985854
AC012306.2,-1.67166697265095
AC012309.1,1.62339888757469
AC012313.1,0.0957648940126084
AC012313.10,-0.212669966643569
AC012313.3,0.631439707872029
AC012313.8,-0.880536248453422
AC012321.1,0.573601619972139
AC012322.1,-2.80687494215577
AC012354.1,-1.15058691598073
AC012354.9,1.40449009579197
AC012358.2,-3.82384394575676
AC012358.4,3.76674350094678
AC012360.2,-2.58545143887704
AC012360.3,1.23560174505204
AC012414.6,-0.751822953156499
AC012441.1,0.938679671414145
AC012441.2,1.30261754208365
AC012447.1,-5.2427749944021
AC012467.1,-4.1948874785983
AC012467.2,0.0830119210591734
AC012494.1,-0.0521651405235188
